,AUC,Accuracy,Precision,Recall,F1,Brier,best_val_loss,temperature
Model 0,0.9317083591148825,0.8532974427994616,0.8954081632653061,0.837708830548926,0.8655980271270037,0.10403057711797022,0.30099985003471375,1.2129673957824707
Model 1,0.9550885412062818,0.8815612382234186,0.9321148825065274,0.8520286396181385,0.8902743142144638,0.0899612815005918,0.2503512501716614,1.3354696035385132
Model 2,0.9427207637231504,0.8707940780619112,0.9088607594936708,0.8568019093078759,0.8820638820638821,0.09480725847379966,0.27223557233810425,1.1604355573654175
