protein,pathway
P04637,hsa05226
P04637,hsa05230
P04637,hsa05417
P04637,hsa05418
P04746,hsa00500
P04746,hsa01100
P04746,hsa04970
P04746,hsa04972
P04746,hsa04973
P04798,hsa00140
P04798,hsa00380
P04798,hsa00830
P04798,hsa00980
P04798,hsa01100
P04798,hsa04913
P04798,hsa05204
P04798,hsa05207
P04798,hsa05208
P04798,hsa05417
P05091,hsa00010
P05091,hsa00053
P05091,hsa00071
P05091,hsa00280
P05091,hsa00310
P05091,hsa00330
P05091,hsa00340
P05091,hsa00380
P05091,hsa00410
P05091,hsa00561
P05091,hsa00620
P05091,hsa00770
P05091,hsa01100
P05091,hsa01240
P05091,hsa04936
P05106,hsa03266
P05106,hsa04015
P05106,hsa04081
P05106,hsa04145
P05106,hsa04148
P05106,hsa04151
P05106,hsa04380
P05106,hsa04510
P05106,hsa04512
P05106,hsa04517
P05106,hsa04518
P05106,hsa04611
P05106,hsa04613
P05106,hsa04640
P05106,hsa04810
P05106,hsa04820
P05106,hsa04919
P05106,hsa05163
P05106,hsa05165
P05106,hsa05168
P05106,hsa05205
P05106,hsa05206
P05106,hsa05410
P05106,hsa05412
P05106,hsa05414
P05106,hsa05418
P05164,hsa00983
P05164,hsa04145
P05164,hsa04613
P05164,hsa05202
P05164,hsa05221
P05177,hsa00140
P05177,hsa00232
P05177,hsa00380
P05177,hsa00591
P05177,hsa00830
P05177,hsa00980
P05177,hsa00982
P05177,hsa01100
P05177,hsa05204
P05177,hsa05207
P05177,hsa05208
P05181,hsa00140
P05181,hsa00590
P05181,hsa00591
P05181,hsa00980
P05181,hsa00982
P05181,hsa00983
P05181,hsa01100
P05181,hsa04932
P05181,hsa04936
P05181,hsa05204
P05181,hsa05208
P05230,hsa04010
P05230,hsa04014
P05230,hsa04015
P05230,hsa04020
P05230,hsa04151
P05230,hsa04390
P05230,hsa04810
P05230,hsa05200
P05230,hsa05218
P05230,hsa05224
P05230,hsa05226
P05412,hsa01522
P05412,hsa04010
P05412,hsa04012
P05412,hsa04024
P05412,hsa04137
P05412,hsa04210
P05412,hsa04310
P05412,hsa04380
P05412,hsa04510
P05412,hsa04530
P05412,hsa04620
P05412,hsa04621
P05412,hsa04625
P05412,hsa04657
P05412,hsa04658
P05412,hsa04659
P05412,hsa04660
P05412,hsa04662
P05412,hsa04668
P05412,hsa04722
P05412,hsa04912
P05412,hsa04915
P05412,hsa04921
P05412,hsa04926
P05412,hsa04932
P05412,hsa04933
P05412,hsa05030
P05412,hsa05031
P05412,hsa05120
P05412,hsa05130
P05412,hsa05131
P05412,hsa05132
P05412,hsa05133
P05412,hsa05135
P05412,hsa05140
P05412,hsa05142
P05412,hsa05161
P05412,hsa05162
P05412,hsa05166
P05412,hsa05167
P05412,hsa05169
P05412,hsa05170
P05412,hsa05171
P05412,hsa05200
P05412,hsa05203
P05412,hsa05207
P05412,hsa05208
P05412,hsa05210
P05412,hsa05211
P05412,hsa05224
P05412,hsa05231
P05412,hsa05235
P05412,hsa05321
P05412,hsa05323
P05412,hsa05417
P05412,hsa05418
P06133,hsa00040
P06133,hsa00053
P06133,hsa00140
P06133,hsa00830
P06133,hsa00860
P06133,hsa00980
P06133,hsa00982
P06133,hsa00983
P06133,hsa01100
P06133,hsa01240
P06133,hsa04976
P06133,hsa05204
P06133,hsa05207
P06401,hsa04114
P06401,hsa04914
P06401,hsa04915
P06401,hsa05207
P06401,hsa05224
P06858,hsa00561
P06858,hsa03320
P06858,hsa04979
P06858,hsa05010
P07550,hsa04020
P07550,hsa04022
P07550,hsa04024
P07550,hsa04080
P07550,hsa04081
P07550,hsa04082
P07550,hsa04261
P07550,hsa04923
P07550,hsa04924
P07550,hsa04970
P07550,hsa05207
P08235,hsa04960
P08253,hsa01522
P08253,hsa04670
P08253,hsa04912
P08253,hsa04915
P08253,hsa04926
P08253,hsa04933
P08253,hsa05200
P08253,hsa05205
P08253,hsa05219
P08253,hsa05415
P08253,hsa05418
P08473,hsa04614
P08473,hsa04640
P08473,hsa04974
P08473,hsa05010
P08514,hsa04015
P08514,hsa04151
P08514,hsa04510
P08514,hsa04512
P08514,hsa04518
P08514,hsa04611
P08514,hsa04613
P08514,hsa04640
P08514,hsa04810
P08514,hsa04820
P08514,hsa05165
P08514,hsa05200
P08514,hsa05222
P08514,hsa05410
P08514,hsa05412
P08514,hsa05414
P08514,hsa05418
P08588,hsa04020
P08588,hsa04022
P08588,hsa04024
P08588,hsa04080
P08588,hsa04081
P08588,hsa04082
P08588,hsa04261
P08588,hsa04540
P08588,hsa04923
P08588,hsa04924
P08588,hsa04970
P08588,hsa05207
P08588,hsa05414
P08620,hsa04010
P08620,hsa04014
P08620,hsa04015
P08620,hsa04020
P08620,hsa04151
P08620,hsa04810
P08620,hsa05200
P08620,hsa05207
P08620,hsa05218
P08620,hsa05224
P08620,hsa05226
P08684,hsa00140
P08684,hsa00591
P08684,hsa00830
P08684,hsa00980
P08684,hsa00982
P08684,hsa00983
P08684,hsa01100
P08684,hsa04976
P08684,hsa05204
P08684,hsa05207
P08908,hsa04024
P08908,hsa04080
P08908,hsa04082
P08908,hsa04726
P08908,hsa04742
P08913,hsa04022
P08913,hsa04080
P08913,hsa04081
P08913,hsa04082
P09038,hsa01521
P09038,hsa04010
P09038,hsa04014
P09038,hsa04015
P09038,hsa04020
P09038,hsa04151
P09038,hsa04550
P09038,hsa04810
P09038,hsa05167
P09038,hsa05200
P09038,hsa05205
P09038,hsa05207
P09038,hsa05218
P09038,hsa05224
P09038,hsa05226
P09960,hsa00590
P09960,hsa01100
P0DP23,hsa04014
P0DP23,hsa04015
P0DP23,hsa04020
P0DP23,hsa04022
P0DP23,hsa04024
P0DP23,hsa04070
P0DP23,hsa04114
P0DP23,hsa04218
P0DP23,hsa04261
P0DP23,hsa04270
P0DP23,hsa04371
P0DP23,hsa04625
P0DP23,hsa04713
P0DP23,hsa04720
P0DP23,hsa04722
P0DP23,hsa04728
P0DP23,hsa04740
P0DP23,hsa04744
P0DP23,hsa04750
P0DP23,hsa04910
P0DP23,hsa04912
P0DP23,hsa04915
P0DP23,hsa04916
P0DP23,hsa04921
P0DP23,hsa04922
P0DP23,hsa04924
P0DP23,hsa04925
P0DP23,hsa04970
P0DP23,hsa04971
P0DP23,hsa05010
P0DP23,hsa05012
P0DP23,hsa05022
P0DP23,hsa05031
P0DP23,hsa05034
P0DP23,hsa05133
P0DP23,hsa05152
P0DP23,hsa05163
P0DP23,hsa05167
P0DP23,hsa05170
P0DP23,hsa05200
P0DP23,hsa05214
P0DP23,hsa05417
P0DP23,hsa05418
P10253,hsa00052
P10253,hsa00500
P10253,hsa01100
P10253,hsa04142
P10275,hsa04114
P10275,hsa05200
P10275,hsa05207
P10275,hsa05215
P10632,hsa00590
P10632,hsa00591
P10632,hsa00830
P10632,hsa00982
P10632,hsa01100
P10632,hsa04726
P10632,hsa05204
P10632,hsa05417
P10635,hsa00980
P10635,hsa00982
P10635,hsa01522
P10635,hsa04726
P11021,hsa03060
P11021,hsa04141
P11021,hsa04156
P11021,hsa04612
P11021,hsa04918
P11021,hsa05012
P11021,hsa05014
P11021,hsa05020
P11021,hsa05022
P11021,hsa05417
P11245,hsa00232
P11245,hsa00983
P11245,hsa01100
P11245,hsa05204
P11362,hsa04010
P11362,hsa04014
P11362,hsa04015
P11362,hsa04020
P11362,hsa04151
P11362,hsa04517
P11362,hsa04519
P11362,hsa04520
P11362,hsa04550
P11362,hsa04714
P11362,hsa04810
P11362,hsa04928
P11362,hsa05200
P11362,hsa05205
P11362,hsa05215
P11362,hsa05218
P11362,hsa05224
P11362,hsa05230
P11509,hsa00232
P11509,hsa00830
P11509,hsa00980
P11509,hsa00982
P11509,hsa00983
P11509,hsa01100
P11509,hsa05204
P11509,hsa05417
P11597,hsa04979
P11712,hsa00590
P11712,hsa00591
P11712,hsa00830
P11712,hsa00980
P11712,hsa00982
P11712,hsa01100
P11712,hsa04726
P11712,hsa05204
P11712,hsa05417
P12004,hsa03030
P12004,hsa03410
P12004,hsa03420
P12004,hsa03430
P12004,hsa04110
P12004,hsa04530
P12004,hsa05161
P12821,hsa04614
P12821,hsa04924
P12821,hsa05142
P12821,hsa05171
P12821,hsa05410
P12821,hsa05415
P13569,hsa02010
P13569,hsa04024
P13569,hsa04145
P13569,hsa04152
P13569,hsa04530
P13569,hsa04971
P13569,hsa04972
P13569,hsa04976
P13569,hsa05110
P13945,hsa04020
P13945,hsa04022
P13945,hsa04080
P13945,hsa04081
P13945,hsa04714
P13945,hsa04923
P13945,hsa04924
P13945,hsa04970
P13945,hsa05207
P14210,hsa01521
P14210,hsa04010
P14210,hsa04014
P14210,hsa04015
P14210,hsa04020
P14210,hsa04151
P14210,hsa04510
P14210,hsa04518
P14210,hsa05144
P14210,hsa05200
P14210,hsa05205
P14210,hsa05208
P14210,hsa05211
P14210,hsa05218
P14210,hsa05223
P14210,hsa05225
P14210,hsa05226
P14410,hsa00052
P14410,hsa00500
P14410,hsa01100
P14410,hsa04973
P14416,hsa04015
P14416,hsa04024
P14416,hsa04080
P14416,hsa04081
P14416,hsa04082
P14416,hsa04540
P14416,hsa04728
P14416,hsa05012
P14416,hsa05030
P14416,hsa05034
P14780,hsa01522
P14780,hsa04145
P14780,hsa04657
P14780,hsa04668
P14780,hsa04670
P14780,hsa04915
P14780,hsa04926
P14780,hsa05161
P14780,hsa05200
P14780,hsa05202
P14780,hsa05205
P14780,hsa05206
P14780,hsa05215
P14780,hsa05219
P14780,hsa05415
P14780,hsa05417
P14780,hsa05418
P15121,hsa00040
P15121,hsa00051
P15121,hsa00052
P15121,hsa00561
P15121,hsa00790
P15121,hsa01100
P15144,hsa00480
P15144,hsa01100
P15144,hsa04145
P15144,hsa04614
P15144,hsa04640
P15538,hsa00140
P15538,hsa01100
P15538,hsa04927
P15538,hsa04934
P15692,hsa01521
P15692,hsa04010
P15692,hsa04014
P15692,hsa04015
P15692,hsa04020
P15692,hsa04066
P15692,hsa04151
P15692,hsa04370
P15692,hsa04510
P15692,hsa04518
P15692,hsa04926
P15692,hsa04933
P15692,hsa05163
P15692,hsa05165
P15692,hsa05167
P15692,hsa05200
P15692,hsa05205
P15692,hsa05206
P15692,hsa05207
P15692,hsa05208
P15692,hsa05211
P15692,hsa05212
P15692,hsa05219
P15692,hsa05323
P15692,hsa05418
P16066,hsa00230
P16066,hsa01100
P16066,hsa04022
P16066,hsa04024
P16066,hsa04081
P16066,hsa04270
P16066,hsa04714
P16066,hsa04921
P16066,hsa04923
P16066,hsa04924
P16066,hsa04925
P16109,hsa04514
P16109,hsa04613
P16109,hsa05144
P16109,hsa05150
P16109,hsa05171
P16109,hsa05417
P16152,hsa00590
P16152,hsa00790
P16152,hsa00980
P16152,hsa01100
P16152,hsa05204
P16152,hsa05208
P16581,hsa04514
P16581,hsa04668
P16581,hsa04933
P16581,hsa05143
P16581,hsa05144
P16581,hsa05417
P16581,hsa05418
P16662,hsa00040
P16662,hsa00053
P16662,hsa00140
P16662,hsa00830
P16662,hsa00860
P16662,hsa00980
P16662,hsa00982
P16662,hsa00983
P16662,hsa01100
P16662,hsa01240
P16662,hsa04976
P16662,hsa05204
P16662,hsa05207
P16860,hsa04022
P16860,hsa04081
P16860,hsa04270
P16860,hsa04714
P17302,hsa04519
P17302,hsa04540
P17302,hsa05412
P17405,hsa00600
P17405,hsa01100
P17405,hsa04071
P17405,hsa04142
P17405,hsa04217
P18089,hsa04022
P18089,hsa04080
P18089,hsa04081
P18089,hsa04082
P18825,hsa04022
P18825,hsa04080
P18825,hsa04081
P18825,hsa04082
P19099,hsa00140
P19099,hsa01100
P19099,hsa04925
P19224,hsa00040
P19224,hsa00053
P19224,hsa00140
P19224,hsa00830
P19224,hsa00860
P19224,hsa00980
P19224,hsa00982
P19224,hsa00983
P19224,hsa01100
P19224,hsa01240
P19224,hsa04976
P19224,hsa05204
P19224,hsa05207
P19235,hsa04060
P19235,hsa04081
P19235,hsa04148
P19235,hsa04151
P19235,hsa04630
P19235,hsa04640
P19235,hsa05200
P19320,hsa04064
P19320,hsa04514
P19320,hsa04518
P19320,hsa04668
P19320,hsa04670
P19320,hsa04933
P19320,hsa05143
P19320,hsa05144
P19320,hsa05417
P19320,hsa05418
P19793,hsa03320
P19793,hsa04148
P19793,hsa04151
P19793,hsa04659
P19793,hsa04919
P19793,hsa04920
P19793,hsa04928
P19793,hsa04932
P19793,hsa04976
P19793,hsa05160
P19793,hsa05200
P19793,hsa05202
P19793,hsa05207
P19793,hsa05216
P19793,hsa05222
P19793,hsa05223
P19793,hsa05226
P19793,hsa05417
P20701,hsa04015
P20701,hsa04514
P20701,hsa04517
P20701,hsa04518
P20701,hsa04613
P20701,hsa04650
P20701,hsa04670
