protein,pathway
P42330,hsa04913
P42330,hsa05208
P42574,hsa01524
P42574,hsa04010
P42574,hsa04115
P42574,hsa04148
P42574,hsa04210
P42574,hsa04215
P42574,hsa04623
P42574,hsa04650
P42574,hsa04657
P42574,hsa04668
P42574,hsa04726
P42574,hsa04932
P42574,hsa04933
P42574,hsa04936
P42574,hsa05010
P42574,hsa05012
P42574,hsa05014
P42574,hsa05016
P42574,hsa05020
P42574,hsa05022
P42574,hsa05120
P42574,hsa05130
P42574,hsa05132
P42574,hsa05133
P42574,hsa05134
P42574,hsa05145
P42574,hsa05146
P42574,hsa05152
P42574,hsa05160
P42574,hsa05161
P42574,hsa05162
P42574,hsa05163
P42574,hsa05164
P42574,hsa05165
P42574,hsa05167
P42574,hsa05168
P42574,hsa05169
P42574,hsa05170
P42574,hsa05200
P42574,hsa05203
P42574,hsa05205
P42574,hsa05206
P42574,hsa05210
P42574,hsa05222
P42574,hsa05416
P42574,hsa05417
P43220,hsa04024
P43220,hsa04080
P43220,hsa04081
P43220,hsa04911
P46663,hsa04020
P46663,hsa04080
P46663,hsa04610
P46663,hsa04750
P46663,hsa04810
P46663,hsa05200
P47989,hsa00230
P47989,hsa00232
P47989,hsa00983
P47989,hsa01100
P47989,hsa01232
P47989,hsa04146
P48048,hsa04960
P48048,hsa04971
P48050,hsa04725
P48050,hsa04921
P49019,hsa04024
P50416,hsa00071
P50416,hsa01212
P50416,hsa03320
P50416,hsa04148
P50416,hsa04152
P50416,hsa04714
P50416,hsa04920
P50416,hsa04922
P50416,hsa04931
P50416,hsa04936
P51589,hsa00590
P51589,hsa00591
P51589,hsa01100
P51589,hsa04726
P51589,hsa04750
P51589,hsa04913
P51589,hsa05417
P51812,hsa04010
P51812,hsa04114
P51812,hsa04150
P51812,hsa04714
P51812,hsa04720
P51812,hsa04722
P51812,hsa04914
P51812,hsa04931
P51812,hsa05135
P51812,hsa05207
P52209,hsa00030
P52209,hsa00480
P52209,hsa01100
P52209,hsa01200
P52895,hsa00140
P52895,hsa01100
P52895,hsa05204
P52895,hsa05208
P53396,hsa00020
P53396,hsa01100
P53805,hsa04919
P53805,hsa04921
P53805,hsa05167
P54289,hsa04010
P54289,hsa04260
P54289,hsa04261
P54289,hsa04921
P54289,hsa05410
P54289,hsa05412
P54289,hsa05414
P54750,hsa00230
P54750,hsa01100
P54750,hsa04020
P54750,hsa04740
P54750,hsa04742
P54750,hsa04924
P54750,hsa05032
P54855,hsa00040
P54855,hsa00053
P54855,hsa00140
P54855,hsa00830
P54855,hsa00860
P54855,hsa00980
P54855,hsa00982
P54855,hsa00983
P54855,hsa01100
P54855,hsa01240
P54855,hsa04976
P54855,hsa05204
P54855,hsa05207
P55017,hsa04928
P63252,hsa04725
P63252,hsa04921
P63252,hsa04924
P63252,hsa04971
P63316,hsa04020
P63316,hsa04260
P63316,hsa04261
P63316,hsa04814
P63316,hsa04820
P63316,hsa05410
P63316,hsa05414
P78508,hsa04971
P78508,hsa05016
Q00975,hsa04010
Q00975,hsa04020
Q00975,hsa04721
Q00975,hsa04723
Q00975,hsa04725
Q00975,hsa04726
Q00975,hsa04727
Q00975,hsa04728
Q00975,hsa04930
Q00975,hsa05016
Q00975,hsa05020
Q00975,hsa05022
Q00975,hsa05032
Q00975,hsa05033
Q00975,hsa05207
Q01064,hsa00230
Q01064,hsa01100
Q01064,hsa04020
Q01064,hsa04740
Q01064,hsa04742
Q01064,hsa04924
Q01064,hsa05032
Q01668,hsa04010
Q01668,hsa04020
Q01668,hsa04022
Q01668,hsa04024
Q01668,hsa04218
Q01668,hsa04260
Q01668,hsa04261
Q01668,hsa04270
Q01668,hsa04530
Q01668,hsa04713
Q01668,hsa04723
Q01668,hsa04724
Q01668,hsa04725
Q01668,hsa04726
Q01668,hsa04727
Q01668,hsa04728
Q01668,hsa04911
Q01668,hsa04912
Q01668,hsa04921
Q01668,hsa04924
Q01668,hsa04925
Q01668,hsa04927
Q01668,hsa04929
Q01668,hsa04930
Q01668,hsa04934
Q01668,hsa04935
Q01668,hsa04973
Q01668,hsa05010
Q01668,hsa05020
Q01668,hsa05022
Q01668,hsa05031
Q01668,hsa05207
Q01668,hsa05410
Q01668,hsa05412
Q01668,hsa05414
Q02108,hsa00230
Q02108,hsa01100
Q02108,hsa04022
Q02108,hsa04270
Q02108,hsa04540
Q02108,hsa04611
Q02108,hsa04713
Q02108,hsa04730
Q02108,hsa04921
Q02108,hsa04924
Q02108,hsa04970
Q02153,hsa00230
Q02153,hsa01100
Q02153,hsa04022
Q02153,hsa04270
Q02153,hsa04540
Q02153,hsa04611
Q02153,hsa04713
Q02153,hsa04730
Q02153,hsa04921
Q02153,hsa04924
Q02153,hsa04970
Q02641,hsa04010
Q02641,hsa04260
Q02641,hsa04261
Q02641,hsa04921
Q02641,hsa05410
Q02641,hsa05412
Q02641,hsa05414
Q04828,hsa00140
Q04828,hsa00980
Q04828,hsa01100
Q04828,hsa05208
Q07869,hsa03320
Q07869,hsa04024
Q07869,hsa04920
Q07869,hsa04922
Q07869,hsa04931
Q07869,hsa04932
Q07869,hsa04936
Q07869,hsa05160
Q07869,hsa05207
Q07869,hsa05415
Q08289,hsa04010
Q08289,hsa04260
Q08289,hsa04261
Q08289,hsa04921
Q08289,hsa05410
Q08289,hsa05412
Q08289,hsa05414
Q09428,hsa02010
Q09428,hsa04911
Q09428,hsa04930
Q12791,hsa04022
Q12791,hsa04270
Q12791,hsa04911
Q12791,hsa04924
Q12791,hsa04970
Q12791,hsa04972
Q13131,hsa04068
Q13131,hsa04140
Q13131,hsa04150
Q13131,hsa04151
Q13131,hsa04152
Q13131,hsa04211
Q13131,hsa04213
Q13131,hsa04371
Q13131,hsa04530
Q13131,hsa04710
Q13131,hsa04714
Q13131,hsa04910
Q13131,hsa04920
Q13131,hsa04921
Q13131,hsa04922
Q13131,hsa04931
Q13131,hsa04932
Q13131,hsa04936
Q13131,hsa05410
Q13131,hsa05418
Q13698,hsa04010
Q13698,hsa04020
Q13698,hsa04022
Q13698,hsa04024
Q13698,hsa04260
Q13698,hsa04261
Q13698,hsa04270
Q13698,hsa04723
Q13698,hsa04725
Q13698,hsa04726
Q13698,hsa04727
Q13698,hsa04911
Q13698,hsa04912
Q13698,hsa04921
Q13698,hsa04924
Q13698,hsa04925
Q13698,hsa04927
Q13698,hsa04929
Q13698,hsa04934
Q13698,hsa04935
Q13698,hsa05010
Q13698,hsa05020
Q13698,hsa05022
Q13698,hsa05207
Q13698,hsa05410
Q13698,hsa05412
Q13698,hsa05414
Q13936,hsa04010
Q13936,hsa04020
Q13936,hsa04022
Q13936,hsa04024
Q13936,hsa04260
Q13936,hsa04261
Q13936,hsa04270
Q13936,hsa04713
Q13936,hsa04720
Q13936,hsa04723
Q13936,hsa04724
Q13936,hsa04725
Q13936,hsa04726
Q13936,hsa04727
Q13936,hsa04728
Q13936,hsa04742
Q13936,hsa04911
Q13936,hsa04912
Q13936,hsa04921
Q13936,hsa04924
Q13936,hsa04925
Q13936,hsa04927
Q13936,hsa04929
Q13936,hsa04930
Q13936,hsa04934
Q13936,hsa04935
Q13936,hsa05010
Q13936,hsa05020
Q13936,hsa05022
Q13936,hsa05031
Q13936,hsa05207
Q13936,hsa05410
Q13936,hsa05412
Q13936,hsa05414
Q14524,hsa04261
Q14524,hsa04519
Q14654,hsa04911
Q14654,hsa04929
Q14654,hsa04930
Q14697,hsa00510
Q14697,hsa01100
Q14697,hsa04141
Q14994,hsa05207
Q15274,hsa00760
Q15274,hsa01100
Q15274,hsa01240
Q16665,hsa04066
Q16665,hsa04137
Q16665,hsa04140
Q16665,hsa04148
Q16665,hsa04659
Q16665,hsa04919
Q16665,hsa05167
Q16665,hsa05200
Q16665,hsa05205
Q16665,hsa05208
Q16665,hsa05211
Q16665,hsa05230
Q16665,hsa05231
Q16665,hsa05235
Q8IZS8,hsa04010
Q8IZS8,hsa04260
Q8IZS8,hsa04261
Q8IZS8,hsa04921
Q8IZS8,hsa05410
Q8IZS8,hsa05412
Q8IZS8,hsa05414
Q8NBP7,hsa04979
Q8TD43,hsa04911
Q8TDS4,hsa04024
Q8TET4,hsa00052
Q8TET4,hsa00500
Q8TET4,hsa01100
Q92736,hsa04020
Q92736,hsa04024
Q92736,hsa04260
Q92736,hsa04261
Q92736,hsa04371
Q92736,hsa04713
Q92736,hsa04911
Q92736,hsa04921
Q92736,hsa04972
Q92736,hsa05020
Q92736,hsa05022
Q92736,hsa05410
Q92736,hsa05412
Q92736,hsa05414
Q92736,hsa05415
Q92769,hsa03082
Q92769,hsa03083
Q92769,hsa04110
Q92769,hsa04213
Q92769,hsa04330
Q92769,hsa04350
Q92769,hsa04613
Q92769,hsa04919
Q92769,hsa05016
Q92769,hsa05031
Q92769,hsa05034
Q92769,hsa05165
Q92769,hsa05169
Q92769,hsa05200
Q92769,hsa05202
Q92769,hsa05203
Q92769,hsa05206
Q92769,hsa05220
Q96PD7,hsa00561
Q96PD7,hsa01100
Q96PD7,hsa04975
Q99519,hsa00511
Q99519,hsa00600
Q99519,hsa01100
Q99519,hsa04142
Q9BQB6,hsa00130
Q9BQB6,hsa01100
Q9BQB6,hsa01240
Q9H244,hsa04082
Q9H244,hsa04148
Q9H244,hsa04611
Q9HAW8,hsa00040
Q9HAW8,hsa00053
Q9HAW8,hsa00140
Q9HAW8,hsa00830
Q9HAW8,hsa00860
Q9HAW8,hsa00980
Q9HAW8,hsa00982
Q9HAW8,hsa00983
Q9HAW8,hsa01100
Q9HAW8,hsa01240
Q9HAW8,hsa04976
Q9HAW8,hsa05204
Q9HAW8,hsa05207
Q9HAW9,hsa00040
Q9HAW9,hsa00053
Q9HAW9,hsa00140
Q9HAW9,hsa00830
Q9HAW9,hsa00860
Q9HAW9,hsa00980
Q9HAW9,hsa00982
Q9HAW9,hsa00983
Q9HAW9,hsa01100
Q9HAW9,hsa01240
Q9HAW9,hsa04976
Q9HAW9,hsa05204
Q9HAW9,hsa05207
Q9HC97,hsa04080
Q9NPA2,hsa04928
Q9NY47,hsa04010
Q9NY47,hsa04260
Q9NY47,hsa04261
Q9NY47,hsa04921
Q9NY47,hsa05410
Q9NY47,hsa05412
Q9NY47,hsa05414
Q9P0X4,hsa04010
Q9P0X4,hsa04020
Q9P0X4,hsa04713
Q9P0X4,hsa04925
Q9P0X4,hsa04927
Q9P0X4,hsa04929
Q9P0X4,hsa04934
Q9UHC9,hsa04975
Q9UK17,hsa05017
Q9Y233,hsa00230
Q9Y233,hsa01100
Q9Y233,hsa04024
Q9Y233,hsa05032
Q9Y251,hsa00531
Q9Y251,hsa01100
Q9Y251,hsa05205
Q9Y478,hsa04068
Q9Y478,hsa04152
Q9Y478,hsa04211
Q9Y478,hsa04213
Q9Y478,hsa04371
Q9Y478,hsa04530
Q9Y478,hsa04710
Q9Y478,hsa04714
Q9Y478,hsa04910
Q9Y478,hsa04920
Q9Y478,hsa04921
Q9Y478,hsa04922
Q9Y478,hsa04931
Q9Y478,hsa04932
Q9Y478,hsa04936
Q9Y478,hsa05410
