protein_id
O00748
O00763
O14975
O43451
O43497
O60488
O60656
O60706
O75469
O75795
O76074
O95180
O95298
O95342
O95477
O95750
P00533
P00734
P00742
P00797
P00813
P00915
P00918
P01008
P01106
P01137
P02585
P02763
P02776
P03372
P04035
P04150
P04637
P04746
P04798
P05091
P05106
P05164
P05177
P05181
P05230
P05412
P06133
P06401
P06858
P07550
P08235
P08253
P08473
P08514
P08588
P08620
P08684
P08908
P08913
P09038
P09960
P0DP23
P10253
P10275
P10632
P10635
P11021
P11245
P11362
P11509
P11597
P11712
P12004
P12821
P13569
P13945
P14210
P14410
P14416
P14780
P15121
P15144
P15538
P15692
P16066
P16109
P16152
P16581
P16662
P16860
P17302
P17405
P18089
P18825
P19099
P19224
P19235
P19320
P19793
P20701
P20813
P20815
P21397
P21695
P21728
P21802
P21917
P21918
P21964
P22309
P22310
P22455
P23141
P23219
P24385
P24462
P24530
P25100
P25101
P25105
P25116
P25963
P27338
P27487
P27815
P28221
P28222
P28223
P28335
P29466
P30556
P31639
P33260
P33261
P34969
P35348
P35354
P35367
P35368
P35462
P35499
P35503
P35610
P35869
P37231
P40261
P41595
P42330
P42574
P43220
P46663
P47989
P48048
P48050
P49019
P50416
P51589
P51812
P52209
P52895
P53396
P53805
P54289
P54750
P54855
P55017
P63252
P63316
P78508
P98066
Q00975
Q01064
Q01668
Q02108
Q02153
Q02641
Q04828
Q07869
Q08289
Q09428
Q12791
Q12809
Q13131
Q13621
Q13698
Q13936
Q14524
Q14654
Q14697
Q14994
Q15166
Q15274
Q16134
Q16665
Q8IZS8
Q8NBP7
Q8TD43
Q8TDS4
Q8TET4
Q92736
Q92769
Q96FL8
Q96PD7
Q99519
Q9BQB6
Q9H093
Q9H244
Q9H252
Q9HAW8
Q9HAW9
Q9HC97
Q9NPA2
Q9NS40
Q9NY47
Q9P0X4
Q9UHC9
Q9UK17
Q9Y233
Q9Y251
Q9Y478
