protein,go_term
P05230,GO:0005576
P05230,GO:0005615
P05230,GO:0005634
P05230,GO:0005654
P05230,GO:0005737
P05230,GO:0005829
P05230,GO:0005938
P05230,GO:0007165
P05230,GO:0008083
P05230,GO:0008201
P05230,GO:0008284
P05230,GO:0008543
P05230,GO:0009653
P05230,GO:0010595
P05230,GO:0022008
P05230,GO:0030334
P05230,GO:0030335
P05230,GO:0031012
P05230,GO:0032148
P05230,GO:0034605
P05230,GO:0042060
P05230,GO:0043406
P05230,GO:0043410
P05230,GO:0044548
P05230,GO:0045542
P05230,GO:0045766
P05230,GO:0045944
P05230,GO:0051781
P05230,GO:0060681
P05230,GO:0070374
P05230,GO:0072163
P05230,GO:1901509
P05230,GO:1902533
P05230,GO:1903672
P05230,GO:2000544
O43451,GO:0000025
O43451,GO:0003824
O43451,GO:0004558
O43451,GO:0004574
O43451,GO:0005886
O43451,GO:0005983
O43451,GO:0016160
O43451,GO:0016324
O43451,GO:0030246
O43451,GO:0070062
O43451,GO:0070821
O43451,GO:0101003
O43451,GO:1901027
O60656,GO:0001889
O60656,GO:0001972
O60656,GO:0004857
O60656,GO:0005783
O60656,GO:0005789
O60656,GO:0006805
O60656,GO:0008194
O60656,GO:0008210
O60656,GO:0009812
O60656,GO:0015020
O60656,GO:0016125
O60656,GO:0019899
O60656,GO:0042573
O60656,GO:0042802
O60656,GO:0042803
O60656,GO:0045922
O60656,GO:0046982
O60656,GO:0051552
O60656,GO:0071385
O95180,GO:0005244
O95180,GO:0005245
O95180,GO:0005886
O95180,GO:0005891
O95180,GO:0006936
O95180,GO:0007517
O95180,GO:0007520
O95180,GO:0008016
O95180,GO:0008331
O95180,GO:0008332
O95180,GO:0016020
O95180,GO:0032342
O95180,GO:0032870
O95180,GO:0034651
O95180,GO:0035865
O95180,GO:0042391
O95180,GO:0046872
O95180,GO:0055085
O95180,GO:0070509
O95180,GO:0097110
O95180,GO:0098703
O95180,GO:2000344
O95477,GO:0005102
O95477,GO:0005524
O95477,GO:0005548
O95477,GO:0005768
O95477,GO:0005789
O95477,GO:0005794
O95477,GO:0005886
O95477,GO:0007040
O95477,GO:0007186
O95477,GO:0007189
O95477,GO:0008035
O95477,GO:0008203
O95477,GO:0008320
O95477,GO:0009306
O95477,GO:0009897
O95477,GO:0010745
O95477,GO:0010875
O95477,GO:0010887
O95477,GO:0015485
O95477,GO:0016197
O95477,GO:0016323
O95477,GO:0016887
O95477,GO:0019905
O95477,GO:0023061
O95477,GO:0030139
O95477,GO:0031210
O95477,GO:0031267
O95477,GO:0032367
O95477,GO:0032489
O95477,GO:0033344
O95477,GO:0033552
O95477,GO:0033700
O95477,GO:0034185
O95477,GO:0034186
O95477,GO:0034188
O95477,GO:0034380
O95477,GO:0034616
O95477,GO:0042158
O95477,GO:0042626
O95477,GO:0042632
O95477,GO:0043691
O95477,GO:0045121
O95477,GO:0045332
O95477,GO:0045335
O95477,GO:0046623
O95477,GO:0048471
O95477,GO:0051117
O95477,GO:0055091
O95477,GO:0060155
O95477,GO:0071222
O95477,GO:0071300
O95477,GO:0071345
O95477,GO:0071397
O95477,GO:0071404
O95477,GO:0071466
O95477,GO:0071806
O95477,GO:0090107
O95477,GO:0090108
O95477,GO:0090554
O95477,GO:0090556
O95477,GO:0097708
O95477,GO:0120020
O95477,GO:0140115
O95477,GO:0140328
O95477,GO:0140359
P00742,GO:0004252
P00742,GO:0005509
P00742,GO:0005543
P00742,GO:0005576
P00742,GO:0005615
P00742,GO:0005788
P00742,GO:0005796
P00742,GO:0005886
P00742,GO:0006508
P00742,GO:0007596
P00742,GO:0009897
P00742,GO:0030335
P00742,GO:0032008
P00918,GO:0004064
P00918,GO:0004089
P00918,GO:0005737
P00918,GO:0005829
P00918,GO:0005886
P00918,GO:0008270
P00918,GO:0015670
P00918,GO:0018820
P00918,GO:0038166
P00918,GO:0044070
P00918,GO:0045177
P00918,GO:0051453
P00918,GO:0070062
P00918,GO:2001150
P05412,GO:0000122
P05412,GO:0000228
P05412,GO:0000785
P05412,GO:0000791
P05412,GO:0000976
P05412,GO:0000978
P05412,GO:0000981
P05412,GO:0001227
P05412,GO:0001228
P05412,GO:0003677
P05412,GO:0003682
P05412,GO:0003700
P05412,GO:0003723
P05412,GO:0005096
P05412,GO:0005634
P05412,GO:0005654
